LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval-X
llama-2-7b.Q3_K_L,Java/0,70.2316997051239,1580.192558169365,387.78908244000377,203.34416267519998,22.5,5.794057846069336,28.21881961063859,0.00013212095310747072,1.8812153722919447e-06,0.0
llama-2-7b.Q3_K_L,Java/1,88.87683081626892,1999.7009968757627,486.2390616479888,4.420003536000007,22.5,5.794057846069336,25.44232735246806,0.00015153356740954855,1.7049839200815687e-06,0.0
llama-2-7b.Q3_K_L,JavaScript/0,27.5898175239563,620.7623809576035,150.38796891923312,-38.486030788799994,22.5,5.794057846069336,27.963708646908096,4.458119919144213e-05,1.6158569788557744e-06,0.0
llama-2-7b.Q3_K_L,JavaScript/1,92.85521054267883,2089.2107158899303,509.45849113686336,1.6010012808000325,22.5,5.794057846069336,3.142200894605431,0.0001582213860945565,1.7039580780642736e-06,0.0
llama-2-7b.Q3_K_L,Python/0,19.9926438331604,449.8245728015899,106.27596698386016,-257.5262060208,22.5,5.794057846069336,27.22588868644857,1.8167667648374416e-05,9.087176163385142e-07,0.0
llama-2-7b.Q3_K_L,Python/1,45.53778553009033,1024.585540294647,244.29793107802197,-157.2581258064,22.5,5.794057846069336,22.442549658061864,6.764024078397998e-05,1.4853651752407865e-06,0.0
llama-2-7b.Q3_K_S,CPP/0,47.75876998901367,1074.4999158382413,257.5555427927475,-291.715233372,22.5,5.794057846069336,26.637184631163297,6.330267982323812e-05,1.3254671307029084e-06,0.0
llama-2-7b.Q3_K_S,CPP/1,75.64798426628113,1702.0533978939059,419.16419002611747,201.64516131600004,22.5,5.794057846069336,3.4661802874710315,0.00014134168161344403,1.8684130579860647e-06,0.0
llama-2-7b.Q3_K_S,Go/0,39.325578451156616,884.8133593797684,218.1870397525995,174.77113981679997,22.5,5.794057846069336,27.82612038133166,7.774991358928668e-05,1.9770825160487868e-06,0.0
llama-2-7b.Q3_K_S,Go/1,34.64351224899292,779.467009305954,191.19576412080278,57.27404581920001,22.5,5.794057846069336,3.8028033410746342,6.254795668507903e-05,1.805473886005807e-06,0.0
llama-2-7b.Q3_K_S,Java/0,38.38712763786316,863.6966764926909,212.91134949181924,147.4591179672,22.5,5.794057846069336,27.470525410075037,7.448210557890388e-05,1.940288585318335e-06,0.0
llama-2-7b.Q3_K_S,Java/1,76.67452359199524,1725.1514554023743,507.81727536106473,-251.320201056,22.5,5.794057846069336,0.0,0.00012057945982722323,1.5726143988694e-06,0.0
llama-2-7b.Q3_K_S,JavaScript/0,78.42088890075684,1764.4466704130173,425.8168680476433,-231.19118495280003,22.5,5.794057846069336,27.922073987044033,0.00011920574340359924,1.5200764117129103e-06,0.0
llama-2-7b.Q3_K_S,JavaScript/1,50.133440017700195,1127.9839038848877,280.9805745935955,211.03916883119996,22.5,5.794057846069336,3.1578196818072883,9.857407193170222e-05,1.966233952764851e-06,0.0
llama-2-7b.Q3_K_S,Python/0,23.3138484954834,524.5528203248978,135.06144137554656,311.3842491072,22.5,5.794057846069336,3.26972002837508,5.908337132998525e-05,2.5342607567099656e-06,0.0
llama-2-7b.Q3_K_S,Python/1,16.642793893814087,374.455486536026,175.90383539799632,-357.47028597599996,22.5,5.794057846069336,0.0,1.1736922776031296e-05,7.052255078634219e-07,0.0
